title,authors,year,subject,cover_url,filename
Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,fantasy,http://covers.openlibrary.org/b/id/10521270-L.jpg,book_covers\38_Harry_Potter_and_the_Philosopher's_Stone.jpg
The Fellowship of the Ring,J.R.R. Tolkien,1954,fantasy,http://covers.openlibrary.org/b/id/14627060-L.jpg,book_covers\39_The_Fellowship_of_the_Ring.jpg
The Enchanted Island of Yew,L. Frank Baum,1903,fantasy,http://covers.openlibrary.org/b/id/1755697-L.jpg,book_covers\40_The_Enchanted_Island_of_Yew.jpg
The Two Towers,J.R.R. Tolkien,1954,fantasy,http://covers.openlibrary.org/b/id/14627564-L.jpg,book_covers\41_The_Two_Towers.jpg
Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,fantasy,http://covers.openlibrary.org/b/id/8392798-L.jpg,book_covers\42_Harry_Potter_and_the_Chamber_of_Secrets.jpg
The Return of the King,J.R.R. Tolkien,1950,fantasy,http://covers.openlibrary.org/b/id/14627062-L.jpg,book_covers\43_The_Return_of_the_King.jpg
The Royal Book of Oz,Ruth Plumly Thompson,1921,fantasy,http://covers.openlibrary.org/b/id/709865-L.jpg,book_covers\44_The_Royal_Book_of_Oz.jpg
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,fantasy,http://covers.openlibrary.org/b/id/10580435-L.jpg,book_covers\45_Harry_Potter_and_the_Prisoner_of_Azkaban.jpg
The Secret Agent,Joseph Conrad,1907,fantasy,http://covers.openlibrary.org/b/id/8239401-L.jpg,book_covers\46_The_Secret_Agent.jpg
Мастер и Маргарита,Михаил Афанасьевич Булгаков,1966,fantasy,http://covers.openlibrary.org/b/id/12947486-L.jpg,book_covers\47_Мастер_и_Маргарита.jpg
The reluctant dragon,"Kenneth Grahame, Jim Weiss, Ernest H. Shepard, Michael Hague, Kenneth Grahame, Kenneth Kenneth Grahame, Grahame Kenneth",1938,fantasy,http://covers.openlibrary.org/b/id/6557137-L.jpg,book_covers\48_The_reluctant_dragon.jpg
The Story of Doctor Dolittle,Hugh Lofting,1920,fantasy,http://covers.openlibrary.org/b/id/5262289-L.jpg,book_covers\49_The_Story_of_Doctor_Dolittle.jpg
"News from Nowhere, or, An epoch of rest",William Morris,1891,fantasy,http://covers.openlibrary.org/b/id/117742-L.jpg,"book_covers\50_News_from_Nowhere,_or,_An_epoch_of_rest.jpg"
