title,authors,year,subject,cover_url,filename,doc_id,dominant_color,surrogate_text
Swan Song,Robert R. McCammon,1978,horror,http://covers.openlibrary.org/b/id/1405021-L.jpg,book_covers\934_Swan_Song.jpg,934,"rgb(151, 104, 81)","Swan Song Robert R. McCammon horror 1978 rgb(151, 104, 81)"
Eden's eyes,Sean Costello,1989,horror,http://covers.openlibrary.org/b/id/5016204-L.jpg,book_covers\935_Eden's_eyes.jpg,935,"rgb(43, 28, 29)","Eden's eyes Sean Costello horror 1989 rgb(43, 28, 29)"
Snowman,Norman Bogner,1978,horror,http://covers.openlibrary.org/b/id/7236254-L.jpg,book_covers\936_Snowman.jpg,936,"rgb(157, 126, 111)","Snowman Norman Bogner horror 1978 rgb(157, 126, 111)"
In the Night Room,Peter Straub,2004,horror,http://covers.openlibrary.org/b/id/8271678-L.jpg,book_covers\937_In_the_Night_Room.jpg,937,"rgb(37, 56, 75)","In the Night Room Peter Straub horror 2004 rgb(37, 56, 75)"
Fear Street Super Chiller - Silent Night,Robert Lawrence Stine,1991,horror,http://covers.openlibrary.org/b/id/403471-L.jpg,book_covers\938_Fear_Street_Super_Chiller_-_Silent_Night.jpg,938,"rgb(153, 131, 136)","Fear Street Super Chiller - Silent Night Robert Lawrence Stine horror 1991 rgb(153, 131, 136)"
Night Film,Marisha Pessl,2013,horror,http://covers.openlibrary.org/b/id/7259739-L.jpg,book_covers\939_Night_Film.jpg,939,"rgb(117, 102, 99)","Night Film Marisha Pessl horror 2013 rgb(117, 102, 99)"
Fuzzy Mud,Louis Sachar,2015,horror,http://covers.openlibrary.org/b/id/7389804-L.jpg,book_covers\940_Fuzzy_Mud.jpg,940,"rgb(91, 83, 78)","Fuzzy Mud Louis Sachar horror 2015 rgb(91, 83, 78)"
The Sleepwalker,Robert Lawrence Stine,1990,horror,http://covers.openlibrary.org/b/id/408246-L.jpg,book_covers\941_The_Sleepwalker.jpg,941,"rgb(93, 89, 111)","The Sleepwalker Robert Lawrence Stine horror 1990 rgb(93, 89, 111)"
Hellsing,"Kohta Hirano, Duane Johnson, Wilbert Lacuna",2003,horror,http://covers.openlibrary.org/b/id/869389-L.jpg,book_covers\942_Hellsing.jpg,942,"rgb(118, 49, 49)","Hellsing Kohta Hirano, Duane Johnson, Wilbert Lacuna horror 2003 rgb(118, 49, 49)"
Beware!,Robert Lawrence Stine,2002,horror,http://covers.openlibrary.org/b/id/52930-L.jpg,book_covers\943_Beware!.jpg,943,"rgb(63, 62, 100)","Beware! Robert Lawrence Stine horror 2002 rgb(63, 62, 100)"
"Ten Great Mysteries [10 stories, 5 poems]","Edgar Allan Poe, Groff Conklin",1960,horror,http://covers.openlibrary.org/b/id/11880094-L.jpg,"book_covers\944_Ten_Great_Mysteries_[10_stories,_5_poems].jpg",944,"rgb(73, 77, 54)","Ten Great Mysteries [10 stories, 5 poems] Edgar Allan Poe, Groff Conklin horror 1960 rgb(73, 77, 54)"
The Facts in the Case of M. Valdemar,Edgar Allan Poe,1846,horror,http://covers.openlibrary.org/b/id/2961873-L.jpg,book_covers\945_The_Facts_in_the_Case_of_M._Valdemar.jpg,945,"rgb(162, 160, 162)","The Facts in the Case of M. Valdemar Edgar Allan Poe horror 1846 rgb(162, 160, 162)"
Swamp Thing Saga of the Swamp Thing,"Alan Moore, Stephen Bissette",1987,horror,http://covers.openlibrary.org/b/id/7598014-L.jpg,book_covers\946_Swamp_Thing_Saga_of_the_Swamp_Thing.jpg,946,"rgb(47, 50, 34)","Swamp Thing Saga of the Swamp Thing Alan Moore, Stephen Bissette horror 1987 rgb(47, 50, 34)"
In the Dark of the Night,John Saul,2006,horror,http://covers.openlibrary.org/b/id/1998945-L.jpg,book_covers\947_In_the_Dark_of_the_Night.jpg,947,"rgb(85, 30, 31)","In the Dark of the Night John Saul horror 2006 rgb(85, 30, 31)"
Never Bite a Boy on the First Date,Tamara Summers,2009,horror,http://covers.openlibrary.org/b/id/6297803-L.jpg,book_covers\948_Never_Bite_a_Boy_on_the_First_Date.jpg,948,"rgb(84, 49, 117)","Never Bite a Boy on the First Date Tamara Summers horror 2009 rgb(84, 49, 117)"
The Secret Bedroom,Robert Lawrence Stine,1991,horror,http://covers.openlibrary.org/b/id/6693777-L.jpg,book_covers\949_The_Secret_Bedroom.jpg,949,"rgb(61, 48, 33)","The Secret Bedroom Robert Lawrence Stine horror 1991 rgb(61, 48, 33)"
Bearwalker,"Joseph Bruchac, Sally Wern Comport",2007,horror,http://covers.openlibrary.org/b/id/45779-L.jpg,book_covers\950_Bearwalker.jpg,950,"rgb(102, 87, 80)","Bearwalker Joseph Bruchac, Sally Wern Comport horror 2007 rgb(102, 87, 80)"
Drood,Dan Simmons,2009,horror,http://covers.openlibrary.org/b/id/6412491-L.jpg,book_covers\951_Drood.jpg,951,"rgb(70, 71, 63)","Drood Dan Simmons horror 2009 rgb(70, 71, 63)"
Stargazer,Claudia Gray,2009,horror,http://covers.openlibrary.org/b/id/7298457-L.jpg,book_covers\952_Stargazer.jpg,952,"rgb(248, 249, 234)","Stargazer Claudia Gray horror 2009 rgb(248, 249, 234)"
Austin And His Friends,Frederic H. Balfour,2005,horror,http://covers.openlibrary.org/b/id/1754753-L.jpg,book_covers\953_Austin_And_His_Friends.jpg,953,"rgb(129, 74, 71)","Austin And His Friends Frederic H. Balfour horror 2005 rgb(129, 74, 71)"
"Tales of Mystery, Imagination, & Humour, and Poems [8 stories, 11 poems]",Edgar Allan Poe,1852,horror,http://covers.openlibrary.org/b/id/11730993-L.jpg,"book_covers\954_Tales_of_Mystery,_Imagination,_&_Humour,_and_Poems_[8_stories,_11_poems].jpg",954,"rgb(94, 60, 37)","Tales of Mystery, Imagination, & Humour, and Poems [8 stories, 11 poems] Edgar Allan Poe horror 1852 rgb(94, 60, 37)"
"The Works of Edgar Allan Poe [68 stories, 31 poems]",Edgar Allan Poe,1985,horror,http://covers.openlibrary.org/b/id/11836029-L.jpg,"book_covers\955_The_Works_of_Edgar_Allan_Poe_[68_stories,_31_poems].jpg",955,"rgb(92, 82, 81)","The Works of Edgar Allan Poe [68 stories, 31 poems] Edgar Allan Poe horror 1985 rgb(92, 82, 81)"
Making friends with Frankenstein,Colin McNaughton,1993,horror,http://covers.openlibrary.org/b/id/799350-L.jpg,book_covers\956_Making_friends_with_Frankenstein.jpg,956,"rgb(85, 88, 80)","Making friends with Frankenstein Colin McNaughton horror 1993 rgb(85, 88, 80)"
Fiction,"R. S. Gwynn, Nathaniel Hawthorne, Edgar Allan Poe, Kate Chopin, Антон Павлович Чехов, Edith Wharton, Willa Cather, James Joyce, William Faulkner, John Steinbeck, Richard Wright, Shirley Jackson, Gabriel García Márquez, Chinua Achebe, Alice Munro, Margaret Atwood, Alice Walker, Guy de Maupassant, Ernest Hemingway, Eudora Welty, Ralph Ellison, Doris Lessing, Flannery O'Connor, John Updike, Raymond Carver, Joyce Carol Oates, Bobbie Ann Mason, Denise Chávez, Louise Erdrich",1993,horror,http://covers.openlibrary.org/b/id/6611816-L.jpg,book_covers\957_Fiction.jpg,957,"rgb(49, 45, 42)","Fiction R. S. Gwynn, Nathaniel Hawthorne, Edgar Allan Poe, Kate Chopin, Антон Павлович Чехов, Edith Wharton, Willa Cather, James Joyce, William Faulkner, John Steinbeck, Richard Wright, Shirley Jackson, Gabriel García Márquez, Chinua Achebe, Alice Munro, Margaret Atwood, Alice Walker, Guy de Maupassant, Ernest Hemingway, Eudora Welty, Ralph Ellison, Doris Lessing, Flannery O'Connor, John Updike, Raymond Carver, Joyce Carol Oates, Bobbie Ann Mason, Denise Chávez, Louise Erdrich horror 1993 rgb(49, 45, 42)"
Gateway to Hell,Dennis Wheatley,1970,horror,http://covers.openlibrary.org/b/id/489931-L.jpg,book_covers\958_Gateway_to_Hell.jpg,958,"rgb(73, 63, 56)","Gateway to Hell Dennis Wheatley horror 1970 rgb(73, 63, 56)"
Help! We Have Strange Powers!,Robert Lawrence Stine,2009,horror,http://covers.openlibrary.org/b/id/6671867-L.jpg,book_covers\959_Help!_We_Have_Strange_Powers!.jpg,959,"rgb(151, 150, 110)","Help! We Have Strange Powers! Robert Lawrence Stine horror 2009 rgb(151, 150, 110)"
GloomCookie,"Serena Valentino, Naifeh, John Gebbia, Breehn Burns, Harley Sparx",2001,horror,http://covers.openlibrary.org/b/id/6817252-L.jpg,book_covers\960_GloomCookie.jpg,960,"rgb(136, 114, 99)","GloomCookie Serena Valentino, Naifeh, John Gebbia, Breehn Burns, Harley Sparx horror 2001 rgb(136, 114, 99)"
My Friends Call Me Monster,Robert Lawrence Stine,2009,horror,http://covers.openlibrary.org/b/id/7235622-L.jpg,book_covers\961_My_Friends_Call_Me_Monster.jpg,961,"rgb(77, 81, 44)","My Friends Call Me Monster Robert Lawrence Stine horror 2009 rgb(77, 81, 44)"
Eleven,"Patricia Highsmith, Graham Greene",1970,horror,http://covers.openlibrary.org/b/id/660458-L.jpg,book_covers\962_Eleven.jpg,962,"rgb(64, 23, 48)","Eleven Patricia Highsmith, Graham Greene horror 1970 rgb(64, 23, 48)"
Las cosas que perdimos en el fuego,Mariana Enríquez,2016,horror,http://covers.openlibrary.org/b/id/7398262-L.jpg,book_covers\963_Las_cosas_que_perdimos_en_el_fuego.jpg,963,"rgb(186, 186, 186)","Las cosas que perdimos en el fuego Mariana Enríquez horror 2016 rgb(186, 186, 186)"
Dracula the Un-Dead,"Dacre Stoker, Ian Holt",2009,horror,http://covers.openlibrary.org/b/id/10323937-L.jpg,book_covers\964_Dracula_the_Un-Dead.jpg,964,"rgb(53, 43, 38)","Dracula the Un-Dead Dacre Stoker, Ian Holt horror 2009 rgb(53, 43, 38)"
Sherlock Holmes vs. Dracula,Loren D. Estleman,1978,horror,http://covers.openlibrary.org/b/id/7163985-L.jpg,book_covers\965_Sherlock_Holmes_vs._Dracula.jpg,965,"rgb(51, 33, 28)","Sherlock Holmes vs. Dracula Loren D. Estleman horror 1978 rgb(51, 33, 28)"
Fear Street Super Chiller - Goodnight Kiss,Robert Lawrence Stine,1992,horror,http://covers.openlibrary.org/b/id/408054-L.jpg,book_covers\966_Fear_Street_Super_Chiller_-_Goodnight_Kiss.jpg,966,"rgb(178, 90, 40)","Fear Street Super Chiller - Goodnight Kiss Robert Lawrence Stine horror 1992 rgb(178, 90, 40)"
The Fear Street Saga - The Burning,Robert Lawrence Stine,1993,horror,http://covers.openlibrary.org/b/id/1334776-L.jpg,book_covers\967_The_Fear_Street_Saga_-_The_Burning.jpg,967,"rgb(123, 90, 43)","The Fear Street Saga - The Burning Robert Lawrence Stine horror 1993 rgb(123, 90, 43)"
The Ruins,Scott Smith,2005,horror,http://covers.openlibrary.org/b/id/745394-L.jpg,book_covers\968_The_Ruins.jpg,968,"rgb(68, 48, 38)","The Ruins Scott Smith horror 2005 rgb(68, 48, 38)"
Silver Under Nightfall,Rin Chupeco,2022,horror,http://covers.openlibrary.org/b/id/13664384-L.jpg,book_covers\969_Silver_Under_Nightfall.jpg,969,"rgb(93, 62, 93)","Silver Under Nightfall Rin Chupeco horror 2022 rgb(93, 62, 93)"
"The Complete Tales & Poems of Edgar Allan Poe [73 stories, 48 poems]",Edgar Allan Poe,1985,horror,http://covers.openlibrary.org/b/id/11885589-L.jpg,"book_covers\970_The_Complete_Tales_&_Poems_of_Edgar_Allan_Poe_[73_stories,_48_poems].jpg",970,"rgb(25, 20, 18)","The Complete Tales & Poems of Edgar Allan Poe [73 stories, 48 poems] Edgar Allan Poe horror 1985 rgb(25, 20, 18)"
"The Complete Tales and Poems of Edgar Allan Poe [67 stories, 52 poems, 4 essays]",Edgar Allan Poe,1938,horror,http://covers.openlibrary.org/b/id/11694688-L.jpg,"book_covers\971_The_Complete_Tales_and_Poems_of_Edgar_Allan_Poe_[67_stories,_52_poems,_4_essays].jpg",971,"rgb(9, 3, 2)","The Complete Tales and Poems of Edgar Allan Poe [67 stories, 52 poems, 4 essays] Edgar Allan Poe horror 1938 rgb(9, 3, 2)"
Lost,Gary Devon,1986,horror,http://covers.openlibrary.org/b/id/4176414-L.jpg,book_covers\972_Lost.jpg,972,"rgb(246, 246, 246)","Lost Gary Devon horror 1986 rgb(246, 246, 246)"
Great Short Works of Edgar Allan Poe,"Edgar Allan Poe, Gary Richard Thompson, G. R. Thompson",1970,horror,http://covers.openlibrary.org/b/id/11708783-L.jpg,book_covers\973_Great_Short_Works_of_Edgar_Allan_Poe.jpg,973,"rgb(199, 144, 87)","Great Short Works of Edgar Allan Poe Edgar Allan Poe, Gary Richard Thompson, G. R. Thompson horror 1970 rgb(199, 144, 87)"
Coldheart Canyon,Clive Barker,2001,horror,http://covers.openlibrary.org/b/id/22454-L.jpg,book_covers\974_Coldheart_Canyon.jpg,974,"rgb(79, 79, 77)","Coldheart Canyon Clive Barker horror 2001 rgb(79, 79, 77)"
A Book of Short Stories,"Stuart Pratt Sherman, Stuart Pratt Sherman, Washington Irving, Nathaniel Hawthorne, Edgar Allan Poe, Charles Dickens, Frank R. Stockton, Thomas Hardy, Robert Louis Stevenson, J. M. Barrie, O. Henry, Rudyard Kipling",1914,horror,http://covers.openlibrary.org/b/id/12176014-L.jpg,book_covers\975_A_Book_of_Short_Stories.jpg,975,"rgb(61, 47, 38)","A Book of Short Stories Stuart Pratt Sherman, Stuart Pratt Sherman, Washington Irving, Nathaniel Hawthorne, Edgar Allan Poe, Charles Dickens, Frank R. Stockton, Thomas Hardy, Robert Louis Stevenson, J. M. Barrie, O. Henry, Rudyard Kipling horror 1914 rgb(61, 47, 38)"
The Book Eaters,Sunyi Dean,2022,horror,http://covers.openlibrary.org/b/id/12856803-L.jpg,book_covers\976_The_Book_Eaters.jpg,976,"rgb(39, 37, 35)","The Book Eaters Sunyi Dean horror 2022 rgb(39, 37, 35)"
